00 02 05	-40 57.8	 104.2	  -1  -73  +12
00 02 16	+34 22.8	 029.8	 -70  -26   -8
00 02 28	-37 36.2	 221.8	 -78 -101  -35
00 02 32	+45 30.6	 087.0	 -39  -23  -17
00 02 48	-68 06.2	 072.5	 +39  -54   +3
00 03 02	+45 32.2	 087.0	 -36  -22  -17
00 03 02	+45 32.1	 087.0	 -40  -23  -15
00 03 38	+58 09.5	 046.5	 -18  -22   +2
00 03 38	+58 09.5	 046.5	 -16  -26   +3
00 03 44	-49 21.2	 048.3	 -48  -31  -11
00 04 01	+28 44.7	 070.2	 -17  -21  -11
00 04 13	-07 47.5	 212.8	 +37  -41  +28
00 04 58	-24 05.9	 039.2	 -66  -23  +36
00 06 06	+36 21.0	 046.2	 +20  -11   -3
00 06 30	+58 52.4	 069.2	 -34   -6  -18
00 06 53	-46 01.4	 064.5	  -5  -13  +11
00 08 43	-15 44.5	 065.8	 +16  -10  -17
00 09 03	-59 11.3	 049.6	 -61  -31   -7
00 09 12	-35 24.8	 032.2	 -25   +4   +9
00 12 53	-16 24.3	 188.7	  -7  -27  +23
00 14 24	-52 55.9	 067.4	 -29   +4   +5
00 14 26	+40 40.2	 071.0	 -35  -13   +0
00 15 25	-13 44.0	 032.0	 -40  -14  -33
00 15 31	+43 44.4	 289.5	 -48  -11   -4
00 15 31	+43 44.4	 289.5	 -47  -12   -3
00 16 07	-08 19.7	 051.4	 -26  -33   +1
00 17 29	-65 10.1	 139.0	 -60   -4  -38
00 17 48	+32 49.3	 079.9	 -26  -73  -37
00 18 52	-46 00.7	 049.7	 +27  -68  +20
00 19 52	-27 18.3	 047.6	  -1  -58   -4
00 20 18	-12 29.2	 048.6	 -33  -13   +0
00 21 53	-27 18.3	 081.2	 -57  -23  -10
00 22 12	-27 26.0	 132.8	 -29   +8 +219
00 23 09	-77 32.1	 155.4	 -51  -42  -29
00 23 45	-43 57.4	 071.2	  -5   -4  -12
00 26 08	-06 55.8	 074.8	 +38  -12  -64
00 29 20	+66 57.8	 100.6	 -68  -44  -18
00 30 28	-63 18.4	 047.8	  -4   -9   -3
00 31 43	+47 38.4	 043.6	 -80  -55  +12
00 32 05	-52 39.0	 049.0	 -11  -20  -34
00 32 40	-03 52.1	 061.4	 -28  -13  -13
00 32 40	-03 52.1	 061.4	 -28  -14  -11
00 34 14	-49 24.3	 037.6	 -39  -43   +7
00 33 40	-49 24.1	 077.4	 -37  -46   +0
00 34 47	-25 02.5	 072.1	 -77  -47  -24
00 34 47	-25 02.5	 072.1	 -77  -46  -30
00 36 13	+30 20.5	 079.5	 -80  -48   -2
00 36 45	+20 58.9	 095.1	 +38  -20   +9
00 38 02	-24 04.4	 040.1	 -44  -76  +45
00 38 04	+39 55.3	 058.5	 +19  -82  -26
00 38 06	-59 44.1	 056.7	 -78  -12  -25
00 40 05	+35 16.4	 047.2	 -24  -10   +7
00 40 52	+33 34.6	 054.7	 +39  -29   -9
00 41 05	-18 15.6	 054.5	 -19   -6  -13
00 41 36	+75 39.9	 023.2	 -29  -25  -12
00 41 58	-26 47.5	 039.8	 -57   -3  -56
00 42 07	-19 13.4	 056.4	 -42   +2  -25
00 42 16	-22 16.8	 046.3	  +0  +12  -12
00 42 31	+01 31.2	 043.2	 +27  -32  -34
00 42 32	-65 54.8	 050.4	 +49 -107  -32
00 43 25	-42 10.9	 081.4	 -17   -8  +26
00 43 25	-42 10.9	 081.4	 -12   -8  +23
00 43 25	-47 49.6	 048.1	 -22   +0   +7
00 45 08	-37 12.5	 040.7	 +37  -19  +33
00 45 45	+05 01.4	 135.9	  -1  -47  -13
00 46 03	+57 33.1	 168.4	 -30  -11  -15
00 46 03	+57 33.1	 168.4	 -31   -9  -16
00 46 21	+16 40.3	 045.6	  +6   -8  -15
00 46 31	+05 09.2	 230.9	  +2  -49  -38
00 46 57	-23 29.2	 062.5	 -38  -14   -5
00 47 37	-10 54.8	 061.8	 +23   -2  -13
00 48 23	+58 01.5	 053.5	-104  -84  +34
00 48 43	+18 28.3	 046.1	  +5  -13  -24
00 49 04	-23 10.8	 069.2	 -26  -38  -17
00 50 04	+60 51.0	 064.9	  -8  +20  +11
00 50 34	-30 37.7	 089.0	 -38  -20   +7
00 52 19	+23 49.9	 049.4	 +35   -4  -15
00 53 23	-29 56.9	 020.8	 -53   -8  -10
00 53 42	+68 46.6	 043.4	 -51  -89  -32
00 54 48	-02 05.0	 070.0	 +33  -15  +38
00 55 10	-62 31.0	 059.9	 -69  -44  -13
00 55 58	-28 07.3	 071.7	 -60  -64  -40
00 57 36	+17 55.8	 050.8	 +17  -27  +20
00 58 13	+61 06.5	 092.4	 -19   -3  -40
00 58 48	+71 25.0	 115.5	 -61  -38  -11
00 59 04	+81 50.0	 040.2	 +42  -27  -24
00 59 27	+62 04.5	 112.6	 -21  -21   +4
00 59 27	-10 08.9	 042.6	 +74  -49  -26
00 59 48	+04 47.4	 020.9	 -46   +6   -2
00 59 54	-10 41.0	 019.5	  -2   +6  +23
01 01 14	+04 48.3	 046.8	 -42   +6   +1
01 01 59	-25 52.1	 040.7	 +29  -35   -4
01 02 22	-39 44.9	 042.1	 +50  -42  -10
01 03 45	+63 40.2	 067.2	 -90  -59  +30
01 04 35	-51 15.5	 047.0	 -40  -31   -5
01 04 56	+54 40.5	 134.5	 -41 -156  -34
01 04 56	+22 41.7	 052.1	  +5  -29  -41
01 06 01	+16 59.1	 045.0	 +58  -67  -37
01 06 04	-10 26.8	 040.6	 -15  -24  -15
01 06 35	-31 11.7	 039.7	 -17  -48   -3
01 06 55	+35 21.4	 048.7	 -11  -15   -8
01 08 34	-67 43.1	 120.9	 -16  -10  -34
01 09 59	-17 16.4	 267.4	 -28   +0  -24
01 11 53	-08 11.5	 056.8	 -26  +17  -11
01 11 51	-08 10.7	 056.8	 -27  +17  -12
01 12 56	-45 47.9	 065.9	 -36  -18  -11
01 14 05	-69 08.5	 050.7	 -35  -18   -6
01 14 04	-69 08.4	 050.7	 -34  -18   -7
01 15 05	-15 45.6	 066.3	 +10  -99   -4
01 16 06	-01 07.6	 052.8	 -34  -49  -24
01 16 43	+79 53.5	 040.9	 -16  -25  -10
01 17 50	+76 27.0	 041.7	 +14  -15   -8
01 19 16	-41 54.7	 063.4	 -58  -95   -7
01 20 33	-13 13.6	 048.4	 -46  -29  -24
01 20 31	-13 13.1	 048.4	 -53  -25  -51
01 22 10	+18 14.6	 061.0	 -57  -59  -14
01 26 20	+21 28.0	 032.4	 -33  -27  -13
01 30 53	-24 25.9	 070.4	  +0  -17  +51
01 30 55	+68 41.5	 038.2	 +48   -6   +2
01 31 35	+34 25.4	 040.8	  +2   -3   +3
01 32 42	-30 10.0	 064.3	 -20   -5  -32
01 33 51	+41 09.4	 057.4	 +32  -23  -21
01 34 49	-29 38.8	 045.5	 -26  -31   -4
01 35 07	+56 58.9	 090.3	 +16  -12  -19
01 36 25	-18 12.7	 380.7	 -43  -19  -19
01 36 25	-18 12.7	 380.7	 -44  -19  -22
01 37 37	-46 45.7	 065.4	  +4  -15  -25
01 37 39	+63 33.6	 076.7	  +5   -5   +0
01 37 52	+66 39.7	 042.9	 -99  -57  -18
01 37 54	-56 26.9	 148.9	  -4  -14  -16
01 37 54	-56 26.9	 148.9	  -3  -16  -18
01 38 44	+42 21.8	 073.1	 -42  -34   +0
01 39 28	-45 40.3	 052.9	 -17  -12   +9
01 39 47	+20 01.6	 126.5	 +36  -26   +1
01 40 12	+63 34.8	 075.1	 +45  -28  -42
01 40 46	+04 04.9	 113.8	 +40  -20   +2
01 41 45	-16 12.0	 286.0	 +18  +28  +13
01 43 58	+12 09.8	 038.1	 -10   +1  -21
01 44 06	+63 36.4	 097.2	 -26  -16   -6
01 45 20	-26 59.7	 054.8	 +48  -34  -30
01 45 52	+32 26.3	 038.6	 +25   +9  +34
01 46 12	-41 44.7	 063.3	 -54  -31  -27
01 47 08	-10 56.0	 044.2	 +20   +3   -6
01 46 56	-10 57.0	 044.2	 +20   +3   -5
01 49 19	-11 02.6	 086.0	  -7  -43   -1
